ID,名称
0,武力上升
10,统率上升
20,智力上升
30,政治上升
40,魅力上升
50,名声上升
80,武将死亡
100,内政经验上升
110,策略经验上升
120,步兵经验上升
130,弩兵经验上升
140,骑兵经验上升
150,水军经验上升
160,器械经验上升
170,计略经验上升
200,忠诚上升
210,仕官
211,下野
212,变成俘虏
213,变成妃子
214,死亡
215,怀孕
216,失去胎儿
220,成为君主的配偶
221,失去配偶
222,成为君主的义兄弟
223,失去义兄弟
224,成为君主的亲爱武将
225,成为君主的厌恶武将
226,亲爱势力君主
227,厌恶势力君主
300,习得某技能
305,忘记某技能
310,习得某称号
315,失去某称号
320,习得某特技
325,忘记某特技
330,失去某类型称号
400,性格改变
410,勇猛增加
420,冷静增加
430,义理改变
440,野心改变
450,汉室重视度改变
460,相性改变
470,战略倾向改变
480,出仕相性考虑改变
500,获得宝物
510,失去宝物
1000,农业上升
1010,商业上升
1020,技术上升
1030,统治上升
1040,耐久上升
1050,民心上升
1060,资金增加
1070,粮草增加
1080,人口上升
1090,兵役人口上升
1100,所有编队兵力增加
1110,所有编队士气增加
1120,所有编队战意增加
1130,所有某兵种编队兵力增加
1140,所有某兵种编队士气增加
1150,所有某兵种编队战意增加
1200,马上得到某设施
1210,开始兴建某设施
1220,某设施被拆卸
1230,所有设施被拆卸
1240,得到某特征
1250,失去某特征
1300,得到某天灾
1310,天灾时间延长
1400,转变建筑种类
2000,声望增加
2010,技巧点数增加
2020,得到技术
2030,失去技术
2040,得到某基本兵种
2050,失去某基本兵种
2100,朝廷贡献度增加
2110,官爵增加
2120,得到某官爵
2130,变成异族
2131,变成不是异族
2200,与所有势力外交提升
