ID,名称,消耗战意,延续天数,动画,影响列表,使用条件列表,修习条件列表,AI触发条件,将军,勇将,军师,识者,智将,君主,全能,平凡文,平凡武,庸才,相关能力
0,遁走,30,3,33,252 409 514 4051 4012 852,1353 1400 1211,604 170 190 309 401 572,730 1235 1260 1277 1282,5,1,1,1,3,5,20,1,1,1,1
1,闪击,60,4,32,251 401 4000 4030,1012 1008 1401,611 614 615 224 552 151 160 309,715 1244 1291 1293,5,4,1,1,3,3,20,1,1,1,0
2,铁壁,60,5,33,4011 408 513 4051,1300 1009,603 162 209 551 571,720 1261 1277 1282 1218,5,3,1,1,4,3,20,1,1,1,1
3,亢奋,50,3,45,4001 402 552 851,1210,611 614 615 554 151 4011,730 1260 1291 1279 1282 1218,4,6,1,1,3,3,20,1,1,1,0
4,威风,70,5,50,523 533 4000 4010,1010,611 313 151 161 555 594,740 1260 1291 1281 1279 1218,6,6,1,1,4,4,20,1,1,1,0
5,奇袭,40,2,32,4000 403 553,1235 1009 1011,610 611 614 160 401 552,720 1260 1219,3,1,5,2,6,2,20,1,1,1,1
6,犄角,30,3,32,4050 714,1354,605 160 170 401 551,740 1250 1272 1280 1291 1218,2,1,5,1,6,3,20,1,1,1,2
7,纵火,30,4,45,389,1354,605 161 171 403 551,730 1260 1278 1280 1219,1,1,6,3,4,3,20,1,1,1,2
8,驱逐,50,4,32,4000 4010 521 702 712,1240 1010,611 614 150 161 551 570,725 1260 1218,5,3,1,1,4,4,20,1,1,1,1
9,瘋狂,100,3,52,4001 4060 623 850 851,1210 1226,600 152 554 4021,740 1260 1277 1281 1291 1219,3,7,1,1,2,2,20,1,1,1,0
10,稳守,50,5,33,4010 4051 511 531,1011 1220,610 612 160 550 570 202,720 1260 1278 1218,5,2,1,1,5,4,20,1,1,1,1
11,急智,30,2,50,504 514,1016 1026 1400,612 613 614 615 400 151 373 552,725 1260 1021 1219,2,4,1,1,1,1,20,8,8,1,2
12,隐忍,40,5,16,4010 4040 4051 850,1008 1110,605 404 161 171 573,720 1260 1277 1218,1,1,6,4,2,3,20,1,1,1,2
13,攻城,40,5,44,4022,1010 1220 1354,611 614 150 160 4031 552,740 1248 1265 1291 1286 1293 1218 1295,5,5,2,1,4,3,20,1,1,1,1
