"ID","AITAG","名稱","所屬勢力"
"0","","长安军区","0"
"1","","濮阳军区","1"
"2","","南皮军区","2"
"3","","襄平军区","3"
"4","","土垠军区","4"
"5","","成都军区","5"
"6","","寿春军区","6"
"7","","襄阳军区","7"
"8","","鄄城军区","8"
"9","","沛县军区","9"
"10","","历阳军区","10"
"11","","襄武军区","11"
"12","","西都军区","12"
"13","","都昌军区","13"
"14","","秣陵军区","14"
"15","","龙编军区","15"
"16","","郯县军区","16"
"17","","山阴军区","17"
"18","","乌程军区","18"
"20","","南郑军区","20"
"21","","弘农军区","21"
"22","","真定军区","22"
"23","","长子军区","23"
"24","","下邳军区","24"
"25","","开阳军区","25"
"26","","吴县军区","26"
"27","","南昌军区","27"
"28","","枹罕军区","28"
"29","","陈留军区","29"
"30","","美稷军区","30"
"31","","白狼山军区","31"
"32","","下辨军区","32"
"33","","东部鲜卑军区","33"
"34","","夫余军区","34"
"35","","丸都军区","35"
"36","","南蛮军区","36"
"37","","羌胡军区","37"
"38","","山越军区","38"
"39","","盛乐军区","39"
"40","","陈县军区","40"
41,,番禹軍區,41
