ID,姓,名,简要,演义,历史,剧本,势力颜色,兵种列表
0,,,孟获的部下，第三洞的元帅。,在诸葛亮出征南蛮时，被张翼袭击掳获。与董荼那皆对诸葛亮的释放感到心服口服，但被同被释放却不服从的孟获命令守备沙口。在接下来的战役，董荼那因避开与马岱对战而被孟获处罚，於是就联合董荼那将孟获捕捉引渡交给蜀军。之後，误以为再次被释放的孟获终於也心服於诸葛亮，而连同董荼那被孟获诱出並杀害。,没有记载。,,52,0 1 2 29 30 
1,,,吴的幕僚。在正史中，避开司马昭之名，以韦曜记述。,没有记载。,奉太子孙和之令写出「博弈论」，评论赌博是个毫无益处的遊戏。孙亮即位後受到诸葛恪的推薦，和薛莹、华覈共同编辑「吴书」。但孙皓即位後，在「吴书」的编辑方针上和孙皓对立。不擅饮酒的他受迫强饮，並以态度反叛为名遭受处刑。华覈与其交情甚笃，直到最後还为了救助其性命而四处奔走。,,52,0 1 2 29 30 
2,,,刘表的幕僚。之後服侍刘备。,在刘表归还刘备所赠与的的卢时，曾告知刘备，的卢的凶相会影响骑乘者一说。在蔡瑁企图暗杀刘备时，曾告知刘备危機並助其逃亡。刘表死後，後继的刘琮向曹操投降，而其便追随刘备和关羽共同守护荆州。当荆州受到吕蒙攻击时，和马良同往成都请求援军，关羽死後便留守成都。之後，劝谏刘备自立为皇帝。,以身为一名使者的機警跟应对能力，让孙权感到佩服。和诸葛亮、法正、刘巴、李严等人编撰了蜀科（蜀国的法律）。,,52,0 1 2 29 30 
3,,,天水武将。本来为魏国卖命，後来投降蜀国。,是姜维的友人。在诸葛亮进攻天水时，和先投降於蜀国的姜维取得连络。在蜀军攻进之时，和同袍梁绪同谋打开城门迎进蜀军。,在诸葛亮进攻天水时，曾遭天水太守马遵懷疑他别有二心。马遵逃走後，和姜维、梁虔、梁绪一起投降。於蜀国灭亡前去世。,,52,0 1 2 29 30 
4,,,字大目，名不详。为曹爽心腹。,在曹爽被司马懿处刑之後，为了復仇而伪装成司马师的部下。当友人文钦和毌丘俭企图谋反时，文钦欲告知司马师死期将至，却未传达成就被赶回。,少年时代曾任曹氏僕人，随侍在皇帝的身旁。,,52,0 1 2 29 30 
5,,,蜀国学士。为司马徽、宗忠的门下弟子。,和诸葛亮等人，同为让刘备决心自立为皇帝的幕僚之一。在诸葛亮的第一次北伐时，曾被任命为博士。,相当了解经书史记，特别是熟悉「左氏春秋」。於刘备平定益州後被委任劝学从事，在刘禅成为天子时，曾教导「左氏春秋」。,,52,0 1 2 29 30 
6,,,魏国武将。魏国五子良将之一。,在曹操败给张绣时，由於镇压了夏侯惇麾下的青州兵的掠夺有功，而获得曹操的激赏。官渡之战时负责後防，赤壁之战时担任水军都督。在关羽包围樊城时，和庞德一起前往救援，因受水攻而遭受俘虏。在关羽被孙权击败後，藉由孙权之手遣送回魏国。但是却被曹丕派去看管曹操墓地，看到自己对关羽拼命求饶的模样被画在墙壁，届时悲愤而死。,曾任鲍信部下参与讨伐黄巾黨。对部下十分严格。,,52,0 1 2 29 30 
7,,,吴国武将。,魏国诸葛诞反叛时，和朱異、唐咨等被派遣为诸葛诞的援军的其中一人。在诸葛诞死後，受到攻进寿春城王基的劝降，却以「奉命为援军，岂能未达任务而受降」拒降而战死。,和演义相同。,,52,0 1 2 29 30 
8,,,卫凯（正史中为卫觊）之子，魏臣。,在锺会和邓艾讨伐蜀时，以监军的身份从军。锺会和邓艾反目成仇之际，奉锺会之命逮捕邓艾父子。在锺会和姜维企图谋反时，担任镇压一务，另一方面又令田续杀了邓艾父子。,对於邓艾的处置受到杜预批判，因而谢罪。因攻略蜀的功绩而成为镇西将军。在晋朝时则先後任青州刺史、征东大将军、幽州刺史、司空等职位。曾担任辅佐惠帝，却遭贾后懷恨在心而遭处刑。擅长草书，和索靖並称「二妙」。,,52,0 1 2 29 30 
9,,,袁绍的堂兄，东汉山阳太守。,支持曹操打倒董卓的诸侯之一。虎牢关之役中，同桥瑁救出败给吕布的王匡。,袁术之兄。曾被曹操赞为「成人之後仍努力向学的，只有自己跟袁遗而已」。虽然被袁绍推举为扬州刺史，却为了抢夺根据地和袁术开战，战败逃亡中被士兵所杀。,,52,0 1 2 29 30 
