ID,名称
0,内政经验值达到若干
100,武勇经验值达到若干
110,统率经验值达到若干
120,智谋经验值达到若干
130,政治经验值达到若干
140,魅力经验值达到若干
150,武勇达到若干
160,统率达到若干
170,智谋达到若干
180,政治达到若干
190,魅力达到若干
200,步兵经验值达到若干
210,弩兵经验值达到若干
220,骑兵经验值达到若干
230,水军经验值达到若干
240,器械经验值达到若干
300,名声达到若干
350,武勇小于若干
360,统率小于若干
370,智谋小于若干
380,政治小于若干
390,魅力小于若干
400,计略经验达到若干
410,策略经验达到若干
420,义理高于
425,义理低于
430,野心高于
435,野心低于
440,汉室重视度
450,忠诚少于
500,拥有某件宝物
505,不拥有某件宝物
510,拥有达到若干宝物
515,拥有少于若干宝物
550,击破敌军次数达到若干
570,被敌军击破次数达到若干
580,被敌军击破次数不多于若干
590,击破敌军次数与被敌军击破次数之和达到若干
591,击破敌军次数大于被敌军击破次数
592,击破敌军次数等于被敌军击破次数
593,击破敌军次数小于被敌军击破次数
594,胜率达到若干
595,胜率未达到若干
600,性格为某种
610,性格不为某种
620,会某技能
621,可习得某技能
625,不会某技能
626,不可习得某技能
630,拥有某称号
631,可习得某称号
635,没有某称号
636,不可习得某称号
640,会某特技
641,可习得某特技
645,不会某特技
646,不可习得某特技
650,懂得某影响
655,不懂得某影响
660,年龄达到若干岁
670,年龄小于若干岁
700,某种概率
800,为在野
801,不为在野
802,为势力君主
803,不为势力君主
804,为俘虏
805,不为俘虏
806,为妃子
807,不为妃子
808,为储君
810,子女数目达到若干
820,子女数目少于若干
830,与超过若干人生下子女
840,与少于若干人生下子女
870,所属某势力
875,不所属某势力
880,指定武将ID
885,指定不为武将ID
890,指定所属君主武将ID
895,指定不为所属君主武将ID
900,无法习得
901,无法出生自带
902,无法出现于生成武将中
910,与君主有血缘关系
911,与君主没有血缘关系
912,与君主有亲密血缘关系
913,与君主没有亲密血缘关系
914,为君主之子女
915,不为君主之子女
916,为君主之父母
917,不为君主之父母
918,为君主之兄弟姊妹
919,不为君主之兄弟姊妹
920,为君主之配偶
921,不为君主之配偶
922,与君主性别相同
923,与君主性别不相同
924,与君主姓氏相同
925,与君主姓氏不相同
930,与君主相性差少于
940,与君主相性差多于
950,亲爱势力君主
951,不亲爱势力君主
952,厌恶势力君主
953,不厌恶势力君主
954,为君主势力所亲爱
955,不为君主势力所亲爱
956,为君主势力所厌恶
957,不为君主势力所厌恶
958,为势力君主的义兄弟
959,不为势力君主的义兄弟
970,为女性
971,为男性
998,为玩家势力
999,为电脑势力
1000,处于混乱状态
1001,不处于混乱状态
1002,处于埋伏状态
1003,不处于埋伏状态
1004,士气到顶
1005,士气不到顶
1006,战意到顶
1007,战意不到顶
1008,伤兵为0
1009,伤兵大于0
1010,士气达到若干
1015,士气小于若干
1020,战意达到若干
1025,战意小于若干
1030,伤兵达到若干单位
1035,伤兵小于若干单位
1040,部队经验达到若干
1045,部队经验小于若干
1050,队长是编队的追随将领
1051,队长不是编队的追随将领
1060,编队的将领信任度达到若干
1065,编队的将领信任度小于若干
