ID,类别,名称,描述,强度（AI）,较强兵种ID,行动速率,获得机率,出兵称号影响,新建资金,新建所需技术,是否外壳,水边新建,攻击,防御,攻击半径,能否反击,能否被反击,斜向攻击,箭矢攻击,凌空攻击,近身攻击,只能在移动前攻击,建筑伤害系数,建筑反击承受率,计略范围,斜向计略,视野半径,斜向视野,伤兵概率,行动力,单一适性种类,平原适性,草地适性,森林适性,湿地适性,山地适性,水域适性,峻岭适性,荒地适性,沙漠适性,雪地适性,平原乘数,草地乘数,森林乘数,湿地乘数,山地乘数,水域乘数,峻岭乘数,荒地乘数,沙漠乘数,雪地乘数,受火伤率,势力编队上限,每个士兵每天消耗的粮草数,口粮天数,每补充1人所需的技巧点数,成军最小规模,一个单位规模所增加的攻击力,一个单位规模所增加的防御力,最大规模,能否升级,升级成的兵种ID,升级经验,每一百经验增加的攻击力,每一百经验增加的防御力,攻击默认,攻击目标,施展默认,施展目标,影响列表,资金上限,变换至兵种,最低统率(AI),新编条件
0,0,步兵,最基本的步兵。【500经验升级】,2,10 11 12 13 200 201 202 203 204 208 210 211,35,1,290,600,100,false,false,55,870,1,true,true,true,false,false,true,false,0.3,0.6,2,false,3,false,55,18,0,4,5,6,100,6,5,100,9,9,10,1.1,1,1,0.2,1,0.6,0.2,1,0.6,0.4,1,500,1,5,0,200,2,17,10000,true,10 11 12 13,500,1,3,0,7,0,3,800 801 700,0,-1,30,
1,1,弓手,最基本的弓兵。【500经验升级】,1,14 15 300 301 302,30,1,291,1000,100,false,false,52,780,2,true,false,true,true,true,true,false,0.2,0,2,false,4,false,55,18,0,4,5,6,100,6,5,100,9,9,10,1,1,1,0.4,1.1,0.6,0.2,1,0.7,0.4,1,500,1,6,0,200,1,14,10000,true,14 15,500,1,3,0,7,0,3,802 803,0,-1,30,
2,2,骑兵,最基本的骑兵。【500经验升级】,2,16 17 400 401 402 403 404 405 406 407 408,35,1,292,6000,150,false,false,140,1050,1,true,true,true,false,false,true,false,0.2,0.7,2,false,3,false,70,24,0,4,4,12,100,15,5,100,12,20,20,1.1,1.1,0.7,0.1,0.6,0.6,0.1,1,0.3,0.2,1,150,3,8,1,60,3,18,3000,true,16 17,500,2,3,0,7,0,3,800 801 804 805 702,0,-1,30,
10,0,刀兵,【步兵进阶兵种：攻守平衡】【1000经验升级】,5,50 51 200 201 202 203 204 208 210 211,35,1,290,1000,150,false,false,57,970,1,true,true,true,false,false,true,false,0.3,0.5,2,false,3,false,60,20,0,4,5,6,100,6,5,100,9,9,10,1.1,1,1,0.2,1,0.6,0.2,1,0.6,0.4,1,150,1,5,0,160,3,17,8000,true,50 51,1000,2,4,0,7,0,3,800 801 700,0,-1,50,
11,0,戟兵,【步兵进阶兵种：对骑强化】【1000经验升级】,5,52 53 200 201 202 203 204 208 210 211,35,1,290,800,150,false,false,55,870,1,true,true,true,false,false,true,false,0.2,0.6,2,false,3,false,60,18,0,4,5,6,100,6,5,100,9,9,10,1.1,1.1,1,0.2,1,0.6,0.2,1,0.6,0.4,1,150,1,5,0,160,2,17,8000,true,52 53,1000,2,3,0,7,0,3,800 801 808 809 700,0,-1,50,
12,0,斧兵,【步兵进阶兵种：攻击强化】【1000经验升级】,5,54 200 201 202 203 204 208 210 211,30,1,290,1000,150,false,false,75,880,1,true,true,true,false,false,true,false,0.4,0.5,2,false,3,false,60,18,0,4,5,6,100,6,5,100,9,9,10,1.1,1,0.9,0.2,0.9,0.6,0.2,1,0.6,0.4,1,150,2,6,0,160,3,17,8000,true,54,1000,3,3,0,7,0,3,800 801 700,0,-1,50,
13,0,剑兵,【步兵进阶兵种：暴击强化】【1000经验升级】,5,55 200 201 202 203 204 208 210 211,40,1,290,900,150,false,false,55,870,1,true,true,true,false,false,true,false,0.2,0.6,2,false,3,false,60,20,0,4,5,6,100,6,5,100,9,9,10,1.1,1,1,0.2,1,0.6,0.2,1,0.6,0.4,1,150,1,5,0,160,2,17,8000,true,55,1000,2,3,6,7,0,3,800 801 401 700,0,-1,50,
14,1,射手,【弓手进阶兵种：攻守平衡】【1000经验升级】,5,70 71 300 301 302,30,1,291,1500,150,false,false,57,840,2,true,false,true,true,true,true,false,0.2,0,2,false,4,false,57,18,0,4,5,6,100,6,5,100,9,9,10,1,1,1,0.4,1.2,0.6,0.2,1,0.7,0.4,1,150,1,6,0,160,2,15,8000,true,70 71,1000,2,4,0,7,0,3,808 809 804 805,0,-1,50,
15,1,弩兵,【弓手进阶兵种：暴击强化】【1000经验升级】,5,72 73 300 301 302,30,1,291,1500,150,false,false,55,780,2,true,false,true,false,false,true,false,0.2,0,2,false,4,false,57,18,0,4,5,6,100,6,5,100,9,9,10,1.1,1.1,1,0.4,1.1,0.6,0.2,1,0.7,0.4,1,150,1,6,0,160,1,14,8000,true,72 73,1000,3,3,6,7,0,3,808 809 401,0,-1,50,
16,2,轻骑,【骑兵进阶兵种：机动强化】【1000经验升级】,7,80 81 82 400 401 402 403 404 405 406 407 408,40,1,292,10000,400,false,false,140,1050,1,true,true,true,false,false,true,false,0.2,0.7,2,false,3,false,70,28,0,4,4,10,100,15,5,100,14,20,20,1.1,1.2,0.7,0.1,0.6,0.6,0.1,1.1,0.3,0.2,1,75,3,8,1,60,3,18,3000,true,80 81 82,1000,3,4,0,7,0,3,804 805 800 801 702,0,-1,50,
