ID,名称,帧数,停留帧数,显示在深层
0,None,0,0,假
1,CriticalStrike,8,5,假
2,Gongxin,8,6,假
3,Raoluan,8,6,假
4,Hide,8,6,假
5,Ambush,8,6,假
6,Fire,8,6,真
7,Chaos,8,3,假
8,Recover,8,5,假
9,Resist,8,3,假
10,Boost,12,4,假
11,Routed,8,5,假
12,CauseChaos,8,5,假
13,SetFire,8,6,假
14,Help,8,6,假
15,Surrounded,8,6,假
16,Stunt,8,6,真
17,dadun,8,6,假
18,qiangzhen,12,4,假
19,pojia,15,10,假
20,xuanfeng,12,4,假
21,jinji,8,6,假
22,chongji,8,6,假
23,tuji,8,6,假
24,leiting,8,6,假
25,guanchuan,8,6,假
26,huoshi,8,6,假
27,Rumour,8,3,假
28,Attract,8,3,假
32,32,8,4,假
33,33,8,4,假
34,34,8,4,假
35,35,8,4,假
36,36,15,10,假
37,37,8,5,假
40,40,15,10,假
41,41,14,5,假
42,42,14,9,假
43,43,17,4,假
44,44,12,9,假
45,45,12,9,假
46,46,13,6,假
47,47,16,6,假
48,48,16,6,假
49,49,16,8,假
50,50,16,10,假
51,51,13,10,假
52,52,16,10,假
53,53,15,8,假
54,54,18,9,假
55,55,14,8,假
56,56,18,10,假
57,57,12,7,假
58,58,12,5,假
59,59,16,3,假
60,60,17,9,假
61,61,10,4,假
62,62,12,6,假
63,63,16,10,假
64,64,16,10,假
65,65,15,10,假
66,66,15,10,假
67,67,16,10,假
68,68,18,10,假
69,69,14,7,假
