ID,类别,等级,战斗,名称,描述,条件,影响列表,条件列表,建筑条件,势力条件,自动习得机率,习得对话,习得传令官对话,全地图数目上限,势力数目上限,继承机率,将军,勇将,军师,识者,智将,君主,全能,平凡文,平凡武,庸才,相关能力
0,1,6,false,超世之傑,•论战胜利几率提高20%•自身不会被俘•仅对君主有效（本条以下）•每月自动获得技巧点数50000•开发技术所需声望减少20%•仅对主将有效（本条以下）•步戟有效（本条以下）•骑兵有效（本条以下）•可施行“魏武”战法,•无法习得•无法出生自带•无法出现于生成武将中,913 260 280 103 6601 281 290 292 8559 ,900 901 902,,,0,,,9999,9999,6,0,0,0,0,0,0,0,0,0,0,0
1,1,5,false,人傑,•论战胜利几率提高15%•自身不会被俘•仅对君主有效（本条以下）•每月自动获得技巧点数30000•开发技术所需声望减少10%•仅对主将有效（本条以下）•步戟有效（本条以下）•骑兵有效（本条以下）•可施行“义勇”战法,•无法习得•无法出生自带•无法出现于生成武将中,912 260 280 102 6600 281 290 292 8542 ,900 901 902,,,0,,,9999,9999,7,0,0,0,0,0,0,0,0,0,0,0
2,1,7,false,天下奇才,•论战胜利几率提高30%•内政获得技巧点数为基本值的三倍•策略获得技巧点数为基本值的三倍•战斗获得技巧点数为基本值的三倍•计略获得技巧点数为基本值的三倍•自身不会被俘•自身经验获得增加20%•开发技术所需时间减少20%,•无法习得•无法出生自带•无法出现于生成武将中,914 40 41 42 43 260 6051 6621 ,900 901 902,,,0,,,9999,9999,5,0,0,0,0,0,0,0,0,0,0,0
3,1,3,false,能臣,•论战胜利几率提高10%•所在建筑当天的内政效果增加20%•开发技术所需资金减少20%,•无法习得•无法出生自带•无法出现于生成武将中,911 51 6631 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
4,1,5,false,王佐之才,•论战胜利几率提高20%•内政获得技巧点数为基本值的三倍•策略获得技巧点数为基本值的三倍•自身不会被俘,•无法习得•无法出生自带•无法出现于生成武将中,913 40 41 260 ,900 901 902,,,0,,,9999,9999,7,0,0,0,0,0,0,0,0,0,0,0
5,1,8,true,雅量高致,•斜向视野•仅对主将有效（本条以下）•被暴击几率减少15%•每1000名声，部队防御力加1%•视野范围内友军计略成功率增加15%•避免被围攻几率增加40%•可施行“火神”战法•水军有效（本条以下）•可施行“龙漩”战法,•无法习得•无法出生自带•无法出现于生成武将中,270 281 407 641 672 703 8556 293 8545 ,900 901 902,,,0,,,9999,9999,5,0,0,0,0,0,0,0,0,0,0,0
6,1,6,true,威震華夏,•仅对主将有效（本条以下）•暴击几率增加15%•每1000名声，部队攻击力加1.5%•每1000名声，部队防御力加0.5%•避免被围攻几率增加40%•步戟有效（本条以下）•骑兵有效（本条以下）•可施行“拖刀”战法,•无法习得•无法出生自带•无法出现于生成武将中,281 402 632 640 703 290 292 8541 ,900 901 902,,,0,,,9999,9999,6,0,0,0,0,0,0,0,0,0,0,0
20,1,4,false,精達事機,•论战胜利几率提高15%•进行内政工作不需要消耗资金•自身不会被俘•降低城池俘虏逃跑机率10%•增加城池捕获机率10%,•无法习得•无法出生自带•无法出现于生成武将中,912 30 260 6120 6110 ,900 901 902,,,0,,,9999,9999,9,0,0,0,0,0,0,0,0,0,0,0
21,1,5,true,一身是膽,•同部队的人物不会被俘•自身被俘时增加逃跑机率40%•仅对主将有效（本条以下）•混乱、伪报免疫•避免被围攻几率增加30%,•无法习得•无法出生自带•无法出现于生成武将中,261 6133 281 601 702 ,900 901 902,,,0,,,9999,9999,7,0,0,0,0,0,0,0,0,0,0,0
22,1,3,true,毅重,•论战胜利几率提高5%•仅对主将有效（本条以下）•每次被混乱最多持续一天•避免被围攻几率增加20%,•无法习得•无法出生自带•无法出现于生成武将中,910 281 600 701 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
23,1,3,true,巧變,•论战胜利几率提高10%•仅对主将有效（本条以下）•计略成功率增加10%•围攻致乱率增加10%,•无法习得•无法出生自带•无法出现于生成武将中,911 281 501 711 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
24,1,3,true,驍果,•仅对主将有效（本条以下）•暴击几率增加10%•避免被围攻几率增加20%,•无法习得•无法出生自带•无法出现于生成武将中,281 401 701 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
25,1,3,true,儉慎,•论战胜利几率提高5%•仅对主将有效（本条以下）•中计几率减少10%•避免被围攻几率增加20%,•无法习得•无法出生自带•无法出现于生成武将中,910 281 511 701 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
26,1,3,true,膽略兼人,•论战胜利几率提高5%•仅对主将有效（本条以下）•暴击几率增加5%•计略成功率增加5%•避免被围攻几率增加10%•围攻致乱率增加5%,•无法习得•无法出生自带•无法出现于生成武将中,910 281 400 500 700 710 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
27,1,2,true,烈氣,•仅对主将有效（本条以下）•所在部队每天战意增长5•避免被围攻几率增加10%,•无法习得•无法出生自带•无法出现于生成武将中,281 620 700 ,900 901 902,,,0,,,9999,9999,18,0,0,0,0,0,0,0,0,0,0,0
28,1,3,true,勇摯剛毅,•仅对主将有效（本条以下）•暴击几率增加5%•被暴击几率减少5%•避免被围攻几率增加20%,•无法习得•无法出生自带•无法出现于生成武将中,281 400 405 701 ,900 901 902,,,0,,,9999,9999,12,0,0,0,0,0,0,0,0,0,0,0
40,1,4,false,識人之能,•论战胜利几率提高20%•所在处人物获评称号所需时间只需一个月•所在城池忠诚不多于99的俘虏忠诚每天下降1,•无法习得•无法出生自带•无法出现于生成武将中,913 120 6140 ,900 901 902,,,0,,,9999,9999,9,0,0,0,0,0,0,0,0,0,0,0
41,1,4,false,國士之風,•论战胜利几率提高10%•所在处当天人物忠诚度不会下降•所在城池忠诚不多于99的俘虏忠诚每天下降1,•无法习得•无法出生自带•无法出现于生成武将中,911 121 6140 ,900 901 902,,,0,,,9999,9999,9,0,0,0,0,0,0,0,0,0,0,0
42,1,5,false,師君,•论战胜利几率提高10%•所在建筑在战争状态下人口增长率不会受到影响•仅对君主有效（本条以下）•所在建筑在战争状态下内政值不会自动下降•降低水灾的破坏50%•降低旱灾的破坏50%•降低地震的破坏50%•降低蝗灾的破坏50%•降低瘟疫的破坏50%•降低风灾的破坏50%•可施行“鬼火”战法,•无法习得•无法出生自带•无法出现于生成武将中,911 122 280 124 6430 6431 6432 6433 6434 6435 8550 ,900 901 902,,,0,,,9999,9999,7,0,0,0,0,0,0,0,0,0,0,0
