ID,名称,图像,价值,已出现,隐藏于建筑,宝物种类,出现年,属于人物,影响列表,介绍
5,无双手戟,0,30,true,-1,5,190,370,523 ,【上品】暗器（不可叠加） 孙策擅用的投掷武器，令敌人防不胜防。
201,铜雀,201,60,false,127,201,190,-1,162 ,吉祥之预兆。（可叠加）
300,嘶风赤兎,300,50,true,-1,300,190,660,5110 ,【极品】名马（不可叠加） 马浑身上下，火炭般赤，无半根杂毛；长一丈；高八尺；嘶喊咆哮，有腾空入海之状 此马能日行千里。
301,的卢,1007,40,true,-1,300,190,635,5110 ,【上品】名马（不可叠加） 奴乘客死，主乘弃市，凶马也。的卢一跃可三丈，仁者马服之。备得之得命栽。
302,绝影,1008,40,true,-1,300,190,343,5110 ,【上品】名马（不可叠加） 曹操的爱马。其名绝影有“速度之快连影子看不到”之。波斯种。
303,爪黄飞电,303,40,true,-1,300,190,343,5110 ,【上品】名马（不可叠加） 曹操的爱驹，其高大威武，体态庄严，名字与众不同，气势磅礴，也惟有曹操这样的枭雄才可以配得上这匹骏马。
304,大宛马,2052,50,false,197,300,190,-1,5110 ,【上品】名马（不可叠加） 大宛马“其先天马子也”，它在高速疾跑后，肩膀位置慢慢鼓起，并流出像鲜血一样的汗水，因此得名“汗血宝马”
305,照夜玉狮子,2054,40,true,-1,300,190,395,5110 ,【上品】名马（不可叠加） 赵云的爱马。通体上下，一色雪白，没有半根杂色，浑身雪白，传说能日行千里，因夜里马身发银白光，故得此名。
306,果下马,1001,20,false,116,300,190,-1,5110 ,【下品】名马（不可叠加） 罗定之罗镜、西宁之怀乡产，高仅三尺，可骑行树下，多海石榴色，骏者有双脊骨，能负重凌高蹑险，轻疾若飞。
307,王追,1010,30,true,-1,300,190,432,5110 ,"【中品】名马（不可叠加） 关外名驹，千里绝群，张飞之马,长坂桥上与三将军共退大魏雄师，为马中英雄。"
308,沙里飞,1017,30,true,-1,300,190,515,5110 ,【中品】名马（不可叠加） 马超坐骑，西域名马，马超乘此马，于潼关一役杀得曹操割须弃袍，几乎丧命。
309,四轮车,1009,20,true,-1,300,190,289,5110 ,【下品】名马（不可叠加） 诸葛亮发明的代步工具，诸葛亮出战多乘此车，曾用此车施展奇门遁甲伏击司马懿，并在死后在车上安木人吓退司马懿。
310,白鹄,1005,30,true,-1,300,184,336,5110 ,【中品】名马（不可叠加） 曹操追击董卓时遭遇徐荣的伏兵，坐骑被伤不能骑乘。曹洪将自己的马献给曹操，曹操骑称此马得以脱险。
311,大宛紫骍马,1019,20,true,-1,300,184,339,5110 ,【下品】名马（不可叠加） 曹植在曹操在世时得到一匹大宛紫骍马，这不是一匹战马而是舞马，经过训练后可依照鼓点进行表演。后献入宫中。
312,惊帆,1006,30,true,-1,300,184,340,5110 ,【中品】名马（不可叠加） 曹真有駃马名为惊帆，言其驰骤如烈风之举帆疾也。
313,快航,1004,30,true,-1,300,184,367,5110 ,【中品】名马（不可叠加） 孙权之爱马，逍遥津之战一跳飞过小师桥，若无它仲谋（孙权）危矣，可与的卢跃檀溪媲美。青葱色斑点马，疾驰如风，冲击力强，是三国名马之一。
314,乌孙,1016,30,true,-1,300,184,225,5110 ,【中品】名马（不可叠加） 汉武帝曾得乌孙马，赐名“天马”“乌孙天马”。
315,灰影,301,30,true,-1,300,184,439,5110 ,【中品】名马（不可叠加） 张辽坐骑
316,燎原火,304,30,true,-1,300,184,185,5110 ,【中品】名马（不可叠加） 性情暴躁，极具攻击性，牙齿异常锋利，力量与速度都在同类中屈指可数。
317,汗血,1011,30,true,-1,300,184,512,5110 ,【中品】名马（不可叠加） 马岱坐骑
318,乌骓,1018,30,true,-1,300,184,124,5110 ,【中品】名马（不可叠加） 魏延坐骑
319,白鹤,302,30,true,-1,300,184,336,5110 ,【中品】名马（不可叠加） 曹洪坐骑。当时人称：“凭空虚跃，曹家白鹤”。
320,白雪,1013,20,true,-1,300,184,63,5110 ,【下品】名马（不可叠加） 郭嘉坐骑
321,黑云,1020,30,true,-1,300,184,242,5110 ,【中品】名马（不可叠加） 周泰坐骑
322,白鸽,1014,30,true,-1,300,184,602,5110 ,【中品】名马（不可叠加） 陆逊坐骑
323,卷毛赤兔,1000,50,true,-1,300,184,248,5110 ,【极品】名马（不可叠加） 祝融坐骑
1100,斩蛇剑,1100,100,false,105,1100,190,-1,6019 ,【极品】武器（不可叠加） 与玉玺一样被视为正统帝位的象征。被称为汉高祖·刘邦之剑。
1101,七星宝刀,1101,70,false,0,1100,190,-1,6016 ,【中品】武器（不可叠加） 曹操为了暗杀董卓，向王允借来的宝刀。装饰着七种宝石。
1102,倚天剑,1102,50,true,-1,1100,190,343,6014 ,【上品】武器（不可叠加） 曹操的宝剑，与青釭剑成对。三国时曹操所佩之剑即名倚天，传为取宋玉的《大言赋》中的名句“拔长剑兮倚长天”命名。倚天剑锋锐无比，后成为宝剑之代称。一代诗仙李白，亦对之仰慕不已，《临江王节士歌》中就有“安得倚天剑，跨海斩长鲸”的句子。
1103,青釭剑,1103,50,true,-1,1100,190,343,6014 ,【中品】武器（不可叠加） 曹操的宝剑，与倚天剑成对，可削铁如泥。于长阪落入赵云之手。
1104,雌雄双剑,1104,60,true,-1,1100,190,635,6015 ,【中品】武器（不可叠加） 刘备所用的雌雄双股剑。于讨黄巾贼时锻造。也表达主人的求偶心切。
